Cue,Target,COS,LSA,FSG,QSS.1,QCON.1,HAL.1,LogHAL.1,Subtlex.1,LogSub.1,Length.1,POS.1,Ortho.1,Phono.1,Phonemes.1,Syllables.1,Morphemes.1,AOA.1,Valence.1,Imageability.1,Familiarity.1,TSS.1,QSS.2,QCON.2,HAL.2,LogHAL.2,Subtlex.2,LogSub.2,Length.2,POS.2,Ortho.2,Phono.2,Phonemes.2,Syllables.2,Morphemes.2,AOA.2,Valence.2,Imageability.2,Familiarity.2,TSS.2
limousine,white,0.017999819,0.09285,0.013,16,6.2,525,6.26,2.82,2.16,9,NN,0,0,7,3,1,8.17,6.14,5.89,5.79,16,8,4.68,149742,11.92,171.45,3.94,5,ADJ,4,11,4,1,1,4.06,6.18,5.64,6.37,8
oil,car,0.062886453,0.051331,0.176,17,5.6,34785,10.46,41.08,3.32,3,NN,8,17,2,1,1,7.33,3.91,5.21,6.23,17,25,6.35,86253,11.37,483.06,4.39,3,NN,23,43,3,1,1,3.37,6.63,6.22,6.8,25
camp,lake,0.010099081,0.245806,0.02,19,5.69,15938,9.68,51.22,3.42,4,NN,10,10,4,1,1,5.78,7,5.51,6.26,19,15,5.7,21614,9.98,36,3.26,4,NN,22,40,3,1,1,4.61,7.13,5.98,6.43,15
tear,cry,0.368051649,0.295845,0.303,9,4.69,6617,8.8,27,3.14,4,NN,19,48,3,1,1,4.89,3.14,5.02,6.18,9,14,4.32,13252,9.49,65.65,3.52,3,VB,7,8,3,1,1,2.78,3.22,4.53,6.25,14
deer,forest,0.367300433,0.540496,0.056,18,3.96,4911,8.5,8.71,2.65,4,NN,14,48,3,1,1,5.17,6.89,6.4,6.13,18,9,6.37,17098,9.75,18.88,2.98,6,NN,1,1,6,2,1,6.28,6.68,6.3,6.03,9
cup,mug,0.580503524,0.398781,0.025,10,5.35,27792,10.23,51.65,3.42,3,NN,10,19,3,1,1,3.57,5.94,5.52,6.33,10,9,5.72,1642,7.4,6.84,2.54,3,NN,16,24,3,1,1,5.15,4.16,5.68,6.22,9
gold,jewel,0.380385359,0.148655,0.096,16,5.68,53067,10.88,78.94,3.61,4,NN,14,29,4,1,1,7.1,7.28,5.7,6.03,16,20,5.73,1980,7.59,7.24,2.57,5,NN,1,5,4,1,1,6.22,6.68,6.05,6.23,20
cage,zoo,0.355932263,0.404271,0.014,18,5.88,8498,9.05,20.27,3.01,4,NN,13,17,3,1,1,5.06,3.11,6.07,5.77,18,8,5.79,4317,8.37,13.65,2.84,3,NN,9,44,2,1,1,3.75,7,6.07,6.39,8
mud,dirt,0.442539015,0.422408,0.599,10,6.02,11445,9.35,14.82,2.88,3,NN,12,27,3,1,1,4.05,5.06,5.79,6.05,10,18,5.51,7642,8.94,25.69,3.12,4,NN,7,19,3,1,1,3.83,4.5,5.05,6.41,18
chair,stool,0.462130502,0.464467,0.032,14,6.12,18589,9.83,49.24,3.4,5,NN,3,36,3,1,1,3.43,5.89,5.89,6.65,14,16,5.66,1234,7.12,3.51,2.26,5,NN,4,17,4,1,1,6.21,4.47,5.75,5.66,16
four,two,0.701354636,0.579263,0.013,15,3.57,85200,11.35,255.78,4.12,4,Other,9,40,3,1,1,4.93,5.26,4.85,6.27,15,14,3.79,456473,13.03,1066.35,4.74,3,Other,3,53,2,1,1,4.24,6.3,4.39,6.7,14
sheep,lamb,0.758163384,0.539946,0.162,17,6.18,7524,8.93,13.43,2.84,5,NN,7,32,3,1,1,4.25,5.32,6.09,6.26,17,14,6.24,3444,8.14,10.63,2.73,4,NN,7,37,3,1,1,4.15,6.3,5.88,5.77,14
hawk,eagle,0.76534992,0.66725,0.136,8,6.1,3597,8.19,12.75,2.81,4,NN,5,25,3,1,1,6.74,6.46,5.85,5.78,8,11,5.63,6845,8.83,11.49,2.77,5,NN,1,5,3,2,1,5.83,6.47,6.1,5.87,11
tack,pin,0.710591389,0.159971,0.079,12,5.64,1603,7.38,2.12,2.04,4,NN,15,41,3,1,1,6.63,4.42,5.56,5.68,12,15,5.81,24742,10.12,16.37,2.92,3,NN,19,46,3,1,1,4.53,5.29,5.43,5.76,15
